council_id,council_name,tree_loss_rating,tree_loss_percent,is_tree_loss,is_climate,is_bushfire,bushfire_count,tree_loss_url,carbon_url,biomass_url,bushfire_url
64,Wangaratta Rural City,50,5.4,0,0,1,24,This area does not face this threat,This area does not face this threat,This area does not face this threat,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/70?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
65,Central Goldfields Shire,69,2.8,0,1,0,0,This area does not face this threat,"<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/15""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/15""></iframe>",This area does not face this threat
66,Monash City,58,4.1,0,1,0,0,This area does not face this threat,"<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/49""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/49""></iframe>",This area does not face this threat
67,Maribyrnong City,71,2.3,0,1,0,0,This area does not face this threat,"<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/42""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/42""></iframe>",This area does not face this threat
68,Glen Eira City,14,18,1,1,0,0,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/treeLoss/country/AUS/10/22?treeLoss=eyJpbnRlcmFjdGlvbiI6e319""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/22""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/22""></iframe>",This area does not face this threat
69,Whittlesea City,17,16,1,1,1,15,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/treeLoss/country/AUS/10/75?treeLoss=eyJpbnRlcmFjdGlvbiI6e319""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/75""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/75""></iframe>","<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/75?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
70,Yarra City,74,2,0,1,0,0,This area does not face this threat,"<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/78""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/78""></iframe>",This area does not face this threat
71,Warrnambool City,59,4,0,1,0,0,This area does not face this threat,"<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/71""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/71""></iframe>",This area does not face this threat
72,Brimbank City,72,2.2,0,1,1,11,This area does not face this threat,"<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/10""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/10""></iframe>","<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/10?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
73,Indigo Shire,34,10,1,0,1,27,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/treeLoss/country/AUS/10/34?treeLoss=eyJpbnRlcmFjdGlvbiI6e319""></iframe>",This area does not face this threat,This area does not face this threat,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/34?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
74,Northern Grampians Shire,9,34,1,0,1,22,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/treeLoss/country/AUS/10/58?treeLoss=eyJpbnRlcmFjdGlvbiI6e319""></iframe>",This area does not face this threat,This area does not face this threat,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/58?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
75,Wellington Shire,32,11,1,0,1,818,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/treeLoss/country/AUS/10/72?treeLoss=eyJpbnRlcmFjdGlvbiI6e319""></iframe>",This area does not face this threat,This area does not face this threat,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/72?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
76,Ararat Rural City,28,11,1,1,1,34,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/treeLoss/country/AUS/10/2?treeLoss=eyJpbnRlcmFjdGlvbiI6e319""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/2""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/2""></iframe>","<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/2?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
77,Colac Otway Shire,26,12,1,0,1,19,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/treeLoss/country/AUS/10/16?treeLoss=eyJpbnRlcmFjdGlvbiI6e319""></iframe>",This area does not face this threat,This area does not face this threat,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/16?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
78,Yarra Ranges Shire,37,8.3,1,0,1,41,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/treeLoss/country/AUS/10/79?treeLoss=eyJpbnRlcmFjdGlvbiI6e319""></iframe>",This area does not face this threat,This area does not face this threat,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/79?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
79,East Gippsland Shire,45,6.5,0,0,1,4083,This area does not face this threat,This area does not face this threat,This area does not face this threat,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/firesAlerts/country/AUS/10/19?firesAlerts=eyJpbnRlcmFjdGlvbiI6e319""></iframe>"
80,Darebin City,29,11,1,1,0,0,"<iframe width=""630"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/treeLoss/country/AUS/10/18?treeLoss=eyJpbnRlcmFjdGlvbiI6e319""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/carbonStock/country/AUS/10/18""></iframe>","<iframe width=""315"" height=""460"" frameborder=""0"" src=""https://www.globalforestwatch.org/embed/widget/whrc-biomass/country/AUS/10/18""></iframe>",This area does not face this threat
